Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Newcastle Utd,Sean Longstaff,ENG,MF,26,25,8,798,8.9,0,0,0,0,0,0,2,0.0,0.6,5,154
Newcastle Utd,Sven Botman,NED,DF,24,8,6,412,4.6,0,0,0,0,0,0,1,0.0,0.5,5,155
Newcastle Utd,Lloyd Kelly,ENG,DF,25,10,4,303,3.4,0,1,1,0,0,0,2,0.0,0.4,5,156
Newcastle Utd,Callum Wilson,ENG,FW,32,18,2,370,4.1,0,0,0,0,0,0,1,0.0,0.4,5,157
Newcastle Utd,Emil Krafth,SWE,DF,29,12,2,342,3.8,0,0,0,0,0,0,2,0.0,0.0,5,158
Newcastle Utd,Lewis Miley,ENG,MF,18,14,1,313,3.5,1,0,1,1,0,0,0,0.0,0.5,5,159
Newcastle Utd,Miguel Almirón,PAR,FW,30,9,1,157,1.7,0,0,0,0,0,0,0,0.0,0.5,5,160
Newcastle Utd,William Osula,DEN,FW,20,14,0,134,1.5,1,0,1,1,0,0,0,0.0,0.2,5,161
Newcastle Utd,Matt Targett,ENG,DF,28,2,0,21,0.2,0,0,0,0,0,0,0,0.0,0.0,5,162
Newcastle Utd,Jamaal Lascelles,ENG,DF,30,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,163
Newcastle Utd,Alex Murphy,IRL,DF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,164
Newcastle Utd,Sean Neave,ENG,FW,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,165
Newcastle Utd,John Ruddy,ENG,GK,37,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,166
Newcastle Utd,Leo Shahar,ENG,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,167
Newcastle Utd,Odysseas Vlachodimos,GRE,GK,30,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,5,168
Aston Villa,Emiliano Martínez,ARG,GK,31,37,37,3194,35.5,0,0,0,0,0,0,5,1.0,0.0,6,169
Aston Villa,Morgan Rogers,ENG,"FW,MF",22,37,37,3114,34.6,8,10,18,8,0,0,10,0.0,6.6,6,170
Aston Villa,Youri Tielemans,BEL,MF,27,36,35,3026,33.6,3,7,10,3,0,1,4,0.0,3.3,6,171
Aston Villa,Ezri Konsa,ENG,DF,26,34,33,2936,32.6,2,0,2,2,0,0,1,0.0,1.3,6,172
Aston Villa,Ollie Watkins,ENG,FW,28,38,31,2598,28.9,16,8,24,14,2,2,2,0.0,15.3,6,173
Aston Villa,Lucas Digne,FRA,DF,31,32,28,2351,26.1,0,4,4,0,0,0,4,0.0,0.8,6,174
Aston Villa,John McGinn,SCO,"MF,FW",29,34,27,2223,24.7,1,4,5,1,0,0,7,0.0,3.1,6,175
Aston Villa,Matty Cash,POL,DF,26,27,24,2070,23.0,1,1,2,1,0,0,7,0.0,0.5,6,176
Aston Villa,Pau Torres,ESP,DF,27,24,23,2020,22.4,0,0,0,0,0,0,2,0.0,0.5,6,177
